fecha_hora,temperatura_C,vibracion_g,rpm,velocidad_avance_mm_min,profundidad_corte_mm,diametro_pieza_mm,rugosidad_Ra,oee_pct,defectos_pct,yield_pct
2026-05-21 12:40,72.0,0.68,8358,443.2,1.63,50.059,0.98,90.8,1.16,98.84
2026-05-21 12:50,71.2,0.63,8335,440.8,1.61,50.049,1.04,91.2,1.09,98.91
2026-05-21 13:00,70.5,0.59,8315,438.4,1.59,50.040,1.09,91.6,1.03,98.97
2026-05-21 13:10,69.8,0.55,8296,436.0,1.58,50.031,1.14,91.9,0.98,99.02
2026-05-21 13:20,69.1,0.51,8278,433.8,1.56,50.022,1.19,92.1,0.94,99.06
2026-05-21 13:30,68.4,0.47,8260,431.6,1.55,50.013,1.24,92.2,0.91,99.09
2026-05-21 13:40,67.8,0.44,8244,429.6,1.53,50.006,1.29,92.1,0.93,99.07
2026-05-21 13:50,67.2,0.41,8225,427.4,1.51,49.998,1.35,91.8,0.99,99.01
2026-05-21 14:00,66.7,0.40,8210,426.0,1.50,49.991,1.40,91.5,1.04,98.96
2026-05-21 14:10,66.4,0.41,8218,427.2,1.51,49.994,1.37,91.6,1.02,98.98
2026-05-21 14:20,66.8,0.42,8228,428.4,1.52,49.997,1.35,91.7,1.01,98.99
2026-05-21 14:30,67.1,0.40,8215,427.0,1.51,49.993,1.38,91.6,1.03,98.97
2026-05-21 14:40,66.5,0.39,8200,425.5,1.50,49.988,1.43,91.3,1.07,98.93
2026-05-21 14:50,66.2,0.41,8208,426.4,1.50,49.990,1.41,91.4,1.05,98.95
2026-05-21 15:00,65.9,0.40,8195,425.2,1.49,49.986,1.44,91.2,1.08,98.92
2026-05-21 15:10,65.5,0.39,8184,424.0,1.48,49.983,1.47,91.0,1.11,98.89
2026-05-21 15:20,65.8,0.40,8193,424.8,1.49,49.987,1.44,91.2,1.08,98.92
2026-05-21 15:30,66.2,0.41,8207,426.4,1.50,49.991,1.40,91.4,1.05,98.95
2026-05-21 15:40,66.6,0.40,8214,427.0,1.51,49.994,1.38,91.5,1.04,98.96
2026-05-21 15:50,66.0,0.39,8200,425.5,1.50,49.989,1.42,91.3,1.07,98.93
2026-05-21 16:00,65.7,0.41,8196,425.3,1.49,49.985,1.45,91.2,1.09,98.91
2026-05-21 16:10,65.4,0.40,8188,424.1,1.48,49.982,1.47,91.0,1.11,98.89
2026-05-21 16:20,65.8,0.42,8206,426.2,1.50,49.988,1.43,91.3,1.07,98.93
2026-05-21 16:30,66.3,0.41,8215,427.1,1.51,49.993,1.39,91.5,1.04,98.96
2026-05-21 16:40,66.7,0.40,8222,427.9,1.51,49.996,1.36,91.6,1.02,98.98
2026-05-21 16:50,66.2,0.39,8208,426.3,1.50,49.990,1.41,91.3,1.07,98.93
2026-05-21 17:00,65.9,0.41,8198,425.0,1.49,49.986,1.44,91.2,1.08,98.92
