fecha_hora,temperatura_C,presion_bar,velocidad_pct,vibracion_g,torque_Nm,humedad_pct,rpm,diametro_mm,oee_pct,defectos_pct,yield_pct
2026-05-21 10:30,200.6,120.4,70.6,0.39,211.0,33.7,140,12.500,88.7,1.18,98.82
2026-05-21 10:40,199.4,119.2,69.6,0.43,209.4,34.3,139,12.497,87.7,1.27,98.73
2026-05-21 10:50,200.8,120.5,70.9,0.41,211.6,33.6,141,12.502,88.8,1.17,98.83
2026-05-21 11:00,202.0,121.3,71.6,0.40,213.3,33.3,142,12.504,89.3,1.13,98.87
2026-05-21 11:10,201.2,120.7,71.1,0.42,212.0,33.8,141,12.501,89.0,1.16,98.84
2026-05-21 11:20,199.7,119.5,70.0,0.39,210.1,34.0,139,12.498,88.1,1.23,98.77
2026-05-21 11:30,200.3,120.1,70.4,0.41,210.8,33.5,140,12.500,88.5,1.20,98.80
2026-05-21 11:40,201.7,121.0,71.3,0.40,212.7,33.2,141,12.503,89.2,1.14,98.86
2026-05-21 11:50,202.3,121.5,71.8,0.43,213.9,33.6,142,12.505,89.5,1.11,98.89
2026-05-21 12:00,200.9,120.3,70.7,0.39,211.4,33.9,140,12.501,88.6,1.19,98.81
2026-05-21 12:10,199.3,119.0,69.4,0.46,208.6,34.7,138,12.495,87.4,1.31,98.69
2026-05-21 12:20,200.5,120.2,70.5,0.40,210.6,33.8,140,12.499,88.3,1.21,98.79
2026-05-21 12:30,201.8,121.1,71.4,0.42,212.9,33.4,141,12.502,89.1,1.14,98.86
2026-05-21 12:40,203.1,122.0,72.2,0.41,214.8,33.1,143,12.507,89.9,1.07,98.93
2026-05-21 12:50,202.0,121.2,71.5,0.40,213.4,33.5,142,12.504,89.4,1.12,98.88
2026-05-21 13:00,200.7,120.4,70.7,0.39,211.1,33.7,140,12.501,88.7,1.18,98.82
2026-05-21 13:10,199.5,119.3,69.7,0.44,209.3,34.4,139,12.497,87.8,1.27,98.73
2026-05-21 13:20,200.9,120.6,70.9,0.41,211.7,33.6,141,12.502,88.8,1.17,98.83
2026-05-21 13:30,202.2,121.4,71.7,0.40,213.1,33.3,142,12.504,89.2,1.13,98.87
2026-05-21 13:40,201.1,120.8,71.0,0.42,212.2,33.8,141,12.500,89.0,1.16,98.84
2026-05-21 13:50,199.9,119.7,70.1,0.40,210.3,34.0,139,12.498,88.2,1.22,98.78
2026-05-21 14:00,203.6,122.4,72.5,0.43,215.2,33.0,143,12.508,90.1,1.05,98.95
2026-05-21 14:10,205.1,123.2,73.1,0.45,216.8,32.8,145,12.512,90.4,1.01,98.99
2026-05-21 14:20,206.8,124.1,73.8,0.48,218.5,32.5,146,12.516,90.0,1.06,98.94
2026-05-21 14:30,208.4,124.9,74.5,0.51,220.1,32.2,147,12.520,89.4,1.14,98.86
2026-05-21 14:40,209.7,125.6,75.0,0.55,221.4,31.9,148,12.524,88.8,1.22,98.78
2026-05-21 14:50,211.2,126.3,75.6,0.59,223.0,31.6,149,12.529,88.1,1.32,98.68
2026-05-21 15:00,212.6,127.0,76.1,0.63,224.5,31.3,150,12.533,87.4,1.43,98.57
2026-05-21 15:10,213.9,127.8,76.7,0.68,226.1,31.0,151,12.538,86.6,1.56,98.44
2026-05-21 15:20,215.1,128.5,77.2,0.72,227.4,30.7,152,12.542,85.9,1.69,98.31
2026-05-21 15:30,216.4,129.2,77.8,0.77,228.9,30.4,153,12.547,85.1,1.84,98.16
2026-05-21 15:40,217.8,130.0,78.4,0.83,230.5,30.1,154,12.553,84.2,2.01,97.99
2026-05-21 15:50,218.9,130.6,78.9,0.89,231.8,29.8,155,12.558,83.4,2.18,97.82
2026-05-21 16:00,219.8,131.2,79.3,0.94,233.0,29.5,156,12.562,82.7,2.34,97.66
2026-05-21 16:10,220.6,131.8,79.7,1.00,234.1,29.2,157,12.567,81.9,2.52,97.48
2026-05-21 16:20,221.3,132.3,80.0,1.05,235.0,29.0,158,12.571,81.2,2.68,97.32
2026-05-21 16:30,221.9,132.7,80.3,1.09,235.8,28.8,158,12.575,80.6,2.82,97.18
2026-05-21 16:40,222.4,133.1,80.5,1.13,236.5,28.6,159,12.578,80.0,2.95,97.05
2026-05-21 16:50,222.8,133.4,80.7,1.16,237.1,28.4,159,12.581,79.5,3.07,96.93
2026-05-21 17:00,220.1,132.0,80.2,1.23,234.8,29.1,157,12.576,80.8,2.80,97.20
2026-05-21 17:10,218.4,130.9,79.5,1.18,232.7,29.6,155,12.570,81.9,2.55,97.45
2026-05-21 17:20,216.2,129.5,78.6,1.12,230.1,30.2,153,12.563,83.2,2.28,97.72
2026-05-21 17:30,214.1,128.2,77.8,1.05,227.6,30.8,152,12.556,84.5,2.02,97.98
2026-05-21 17:40,212.0,126.9,77.0,0.98,225.2,31.4,150,12.549,85.8,1.78,98.22
2026-05-21 17:50,210.1,125.7,76.2,0.91,222.8,31.9,149,12.542,87.0,1.56,98.44
2026-05-21 18:00,208.2,124.5,75.4,0.84,220.5,32.4,147,12.536,88.1,1.36,98.64
2026-05-21 18:10,206.4,123.4,74.7,0.77,218.3,32.9,146,12.530,89.0,1.19,98.81
2026-05-21 18:20,204.7,122.3,73.9,0.70,216.2,33.3,144,12.524,89.8,1.05,98.95
2026-05-21 18:30,203.2,121.3,73.2,0.63,214.1,33.7,143,12.519,90.3,0.98,99.02
2026-05-21 18:40,202.0,120.5,72.6,0.57,212.4,34.0,142,12.514,90.6,0.93,99.07
2026-05-21 18:50,201.1,120.0,72.0,0.52,211.1,34.2,141,12.510,90.8,0.90,99.10
2026-05-21 19:00,200.4,119.7,71.5,0.48,210.2,34.4,140,12.506,91.0,0.88,99.12
2026-05-21 19:10,200.0,119.5,71.2,0.44,209.7,34.5,140,12.503,91.1,0.86,99.14
2026-05-21 19:20,199.8,119.4,71.0,0.42,209.4,34.6,139,12.501,91.2,0.85,99.15
2026-05-21 19:30,200.1,119.6,71.1,0.40,209.8,34.5,140,12.502,91.2,0.85,99.15
2026-05-21 19:40,200.4,119.9,71.3,0.41,210.1,34.3,140,12.502,91.1,0.86,99.14
2026-05-21 19:50,200.7,120.1,71.4,0.40,210.4,34.2,140,12.503,91.1,0.87,99.13
2026-05-21 20:00,201.0,120.4,71.6,0.41,210.8,34.0,141,12.501,91.0,0.88,99.12
2026-05-21 20:10,201.3,120.6,71.7,0.40,211.1,33.9,141,12.502,90.9,0.89,99.11
2026-05-21 20:20,200.9,120.3,71.5,0.39,210.6,34.0,140,12.501,90.9,0.89,99.11
2026-05-21 20:30,200.5,120.1,71.3,0.40,210.3,34.1,140,12.500,91.0,0.88,99.12
2026-05-21 20:40,200.2,119.8,71.1,0.41,209.9,34.2,140,12.500,91.1,0.87,99.13
2026-05-21 20:50,200.6,120.2,71.4,0.40,210.5,34.1,140,12.502,91.1,0.87,99.13
2026-05-21 21:00,201.1,120.5,71.6,0.42,211.0,33.8,141,12.501,90.9,0.89,99.11
2026-05-21 21:10,200.8,120.2,71.4,0.40,210.7,34.0,140,12.502,91.0,0.88,99.12
2026-05-21 21:20,200.3,119.9,71.2,0.39,210.2,34.2,140,12.500,91.1,0.87,99.13
2026-05-21 21:30,200.0,119.7,71.1,0.41,209.8,34.3,139,12.499,91.2,0.86,99.14
