fecha_hora,temp_zona1_C,temp_zona2_C,temp_zona3_C,humedad_pct,velocidad_cinta_m_min,tiempo_curado_min,espesor_curado_mm,oee_pct,defectos_pct,yield_pct
2026-05-21 13:30,243.4,248.6,244.8,10.0,1.89,27.3,2.245,79.6,3.71,96.29
2026-05-21 13:40,244.8,250.0,246.2,9.2,1.91,27.7,2.238,78.0,4.09,95.91
2026-05-21 13:50,246.2,251.4,247.6,8.4,1.93,28.1,2.231,76.3,4.50,95.50
2026-05-21 14:00,247.6,252.8,249.0,7.6,1.95,28.5,2.224,74.5,4.94,95.06
2026-05-21 14:10,248.9,254.1,250.3,6.8,1.97,28.9,2.218,72.6,5.41,94.59
2026-05-21 14:20,246.2,251.4,247.6,8.0,1.94,28.1,2.229,74.0,4.82,95.18
2026-05-21 14:30,243.5,248.7,244.9,9.5,1.90,27.4,2.241,76.4,4.32,95.68
2026-05-21 14:40,240.8,246.0,242.2,11.2,1.86,26.7,2.252,78.8,3.82,96.18
2026-05-21 14:50,238.1,243.3,239.5,12.8,1.82,26.0,2.264,81.1,3.34,96.66
2026-05-21 15:00,235.4,240.6,236.8,14.5,1.78,25.3,2.276,83.4,2.88,97.12
2026-05-21 15:10,232.7,237.9,234.1,16.1,1.74,24.6,2.287,85.6,2.44,97.56
2026-05-21 15:20,230.0,235.2,231.4,17.8,1.70,23.9,2.299,87.6,2.03,97.97
2026-05-21 15:30,227.3,232.5,228.7,19.4,1.66,23.2,2.310,89.3,1.65,98.35
2026-05-21 15:40,224.6,229.8,226.0,21.0,1.62,22.5,2.321,90.6,1.30,98.70
2026-05-21 15:50,222.0,227.2,223.4,22.5,1.58,21.9,2.332,91.5,1.05,98.95
2026-05-21 16:00,219.8,225.0,221.2,23.9,1.55,21.4,2.341,92.0,0.96,99.04
2026-05-21 16:10,218.0,223.2,219.4,25.0,1.52,21.0,2.349,92.2,0.92,99.08
2026-05-21 16:20,216.5,221.7,217.9,25.9,1.50,20.6,2.356,92.1,0.94,99.06
2026-05-21 16:30,215.2,220.4,216.6,26.6,1.49,20.3,2.362,91.8,0.99,99.01
2026-05-21 16:40,214.2,219.4,215.6,27.2,1.47,20.0,2.367,91.4,1.06,98.94
2026-05-21 16:50,213.4,218.6,214.8,27.7,1.46,19.7,2.371,91.0,1.13,98.87
2026-05-21 17:00,212.8,218.0,214.2,28.0,1.45,19.5,2.375,90.7,1.18,98.82
